id,name,year
1,Pope Hilarius,468
2,"Oswald of Worcester, Anglo-Saxon archbishop and saint (b. 925)",992
3,"Albert III, Duke of Bavaria-Munich (b. 1401)",1460
4,"Patrick Hamilton, Scottish Protestant reformer and martyr (b. 1504)",1528
5,"Alessandro Striggio, Italian composer and diplomat (b. 1536/1537)",1592
6,"Caspar Hennenberger, German pastor, historian and cartographer (b. 1529)",1600
7,"John Whitgift, English archbishop and academic (b. 1530)",1604
8,"Johann Conrad Peyer, Swiss anatomist (b. 1653)",1712
9,"John Theophilus Desaguliers, French-English physicist and philosopher (b. 1683)",1744
10,"Johann Andreas Stein, German piano builder (b. 1728)",1792
11,"Johann Joachim Eschenburg, German historian and critic (b. 1743)",1820
12,"Louis-François Lejeune, French general, painter and lithographer (b. 1775)",1848
13,"Auguste Chapdelaine, French Christian missionary (b. 1814)",1856
14,Ludwig I of Bavaria (b. 1786),1868
15,"James Milne Wilson, Scottish-Australian soldier and politician, 8th Premier of Tasmania (b. 1812)",1880
16,"Patrick O'Sullivan, Irish-Australian politician (b. 1818)",1904
17,"Henri Joseph Anastase Perrotin, French astronomer (b. 1845)",1904
18,"Pat Garrett, American sheriff (b. 1850)",1908
19,"John Hope, 1st Marquess of Linlithgow, Scottish-Australian politician, 1st  Governor-General of Australia (b. 1860)",1908
20,"John Nanson, English-Australian journalist and politician (b. 1863)",1916
21,"Ernie Courtney, American baseball player (b. 1875)",1920
22,"Frederic Chapple, Australian educator (b. 1845)",1924
23,"Adolphe Appia, Swiss architect and theorist (b. 1862)",1928
24,"Ina Coolbrith, American poet and librarian (b. 1841)",1928
25,"Arthur Mills Lea, Australian entomologist (b. 1868)",1932
26,"Giuseppe Vitali, Italian mathematician (b. 1875)",1932
27,"E. F. Benson, English archaeologist and author (b. 1867)",1940
28,"Pehr Evind Svinhufvud, Finnish lawyer, judge and politician, 3rd  President of Finland (b. 1861)",1944
29,"Robert Barrington-Ward, English lawyer and journalist (b. 1891)",1948
30,"Sarah Ann Jenyns, Australian entrepreneur (b. 1865)",1952
31,"Elpidio Quirino, Filipino lawyer and politician, 6th  President of the Philippines (b. 1890)",1956
32,"Melvin Purvis, American police officer and  FBI agent (b. 1903)",1960
33,"Walter Yust, American journalist and author (b. 1894)",1960
34,"Frank Albertson, American actor and singer (b. 1909)",1964
35,"Tore Ørjasæter, Norwegian poet and educator (b. 1886)",1968
36,"Tom Davies, American football player and coach (b. 1896)",1972
37,"Florence P. Dwyer, American politician (b. 1902)",1976
38,"Yigal Allon, Israeli general and politician,  Prime Minister of Israel (b. 1918)",1980
39,"Gil Elvgren, American painter and illustrator (b. 1914)",1980
40,"Ludwik Starski, Polish screenwriter and songwriter (b. 1903)",1984
41,"Ruth Pitter, English poet and author (b. 1897)",1992
42,"Frank Daniel, Czech-American director, producer and screenwriter (b. 1926)",1996
43,"Wes Farrell, American singer-songwriter and producer (b. 1939)",1996
44,"Ralph Rowe, American baseball player, coach and manager (b. 1924)",1996
45,"Dennis Danell, American guitarist (b. 1961)",2000
46,"Kagamisato Kiyoji, Japanese sumo wrestler, the 42nd  Yokozuna (b. 1923)",2004
47,"Jerome Lawrence, American playwright and author (b. 1915)",2004
48,"Harold Bernard St. John, Barbadian lawyer and politician, 3rd  Prime Minister of Barbados (b. 1931)",2004
49,"Lorrie Wilmot, South African cricketer (b. 1943)",2004
50,"Janet Kagan, American author (b. 1946)",2008
51,"Erik Ortvad, Danish painter and illustrator (b. 1917)",2008
52,"Akira Yamada, Japanese scholar and philosopher (b. 1922)",2008
53,"Davy Jones, English singer, guitarist and actor (b. 1945)",2012
54,"Sheldon Moldoff, American illustrator (b. 1920)",2012
55,"P. K. Narayana Panicker, Indian social leader (b. 1930)",2012
56,"Wenn V. Deramas, Filipino director and screenwriter (b. 1966)",2016
57,"Gil Hill, American police officer, actor and politician (b. 1931)",2016
58,"Josefin Nilsson, Swedish singer (b. 1969)",2016
59,"Mumtaz Qadri, Pakistani assassin, executed (b. 1985)",2016
60,"Louise Rennison, English author (b. 1951)",2016
61,"Dieter Laser, German actor (b. 1942)",2020
62,"Éva Székely, Hungarian Hall of Fame swimmer and 1952 Olympic champion (b. 1927)",2020
63,"Ali Hassan Mwinyi, 2nd President of Tanzania and 3rd President of Zanzibar (b. 1925)",2024
64,"Brian Mulroney, 18th Prime Minister of Canada (b. 1939)",2024
